"","Company","Country","Project","Payment_type","V1"
"89","Gem Diamonds Ltd","Australia","Gem Diamonds Australia Holdings (Proprietary) Limited","Other",4934000
"90","Total Sa","Nigeria","OML138 (Usan)","Tax",32028000
"91","Polymetal Intl Plc","Russian Federation","Okhotsk","Tax",4552000
"92","Petropavlovsk Plc","Russian Federation","Malomyr","Tax",4360000
"93","Ophir Energy Plc","Thailand","Bualuang","Tax",81659000
"94","Acacia Mining","United Kingdom of Great Britain and Northern Ireland","London corporate office","Tax",4049000
"95","Total Sa","Bolivia, Plurinational State of","San Alberto","Tax",35401000
"96","Total Sa","Congo","CPP Haute Mer - Zone D","Fees",4344000
"97","Total Sa","Gabon","Concession Torpille","Tax",38446000
"98","Total Sa","United Kingdom of Great Britain and Northern Ireland","Greater Laggan Area","Fees",4259000
"99","Total Sa","United States of America","Barnett Shale","Royalties",4089000
"100","Total Sa","United States of America","Utica","Tax",4070000
"101","Total Sa","Nigeria","Joint ventures with NNPC, non operated - non-attributable","Tax",132899000
"102","Petropavlovsk Plc","Russian Federation","Pokrovskiy","Tax",3898000
"103","Total Sa","Iraq","Halfaya","Tax",3892000
"104","Vedanta Resources","India","VED-IO-A Narayan","Royalties",3860000
"105","Total Sa","Morocco","Anzarane","Fees",3859000
"106","Total Sa","Nigeria","Joint ventures with NNPC, operated - non-attributable","Fees",3749000
"107","Exillon Energy Plc","Russian Federation","Zapadno-Khatayakhskoye II oil field","Tax",3555000
"108","Jardine Matheson Holdings Ltd","Indonesia","Kapuas, Central Kalimantan Project","Fees",3410005
"109","Total Sa","Egypt","Block 4 East El Burullus","Fees",3275000
"110","Total Sa","Yemen","Block 10","Production Entitlements",18833000
"111","Total Sa","Congo","CPP Pointe Noire Grands Fonds (PNGF)","Fees",3257000
"112","Jardine Matheson Holdings Ltd","Indonesia","Pamapersada Nusantara","Tax",136107977
"113","Polymetal Intl Plc","Kazakhstan","Varvara","Tax",3232000
"114","Acacia Mining","Tanzania, United Republic of","Bulyanhulu gold mine","Other",3889000
"115","Polymetal Intl Plc","Russian Federation","Omolon","Fees",3358000
"116","Seplat Petroleum","Nigeria","OML 4, 38 and 41","Royalties",106372787
"117","Jardine Matheson Holdings Ltd","Indonesia","Kapuas, Central Kalimantan Project","Tax",3031079
"118","Total Sa","Egypt","North El Mahala Onshore","Bonuses",3e+06
"119","Premier Oil Plc","Pakistan","Kadanwari","Royalties",2997000
"120","Total Sa","Angola","Block 0","Tax",116489000
"121","Total Sa","Angola","Block 39","Infrastructure",2872000
"122","Total Sa","Myanmar","Blocks M5 and M6","Production Entitlements",133478000
"123","Vedanta Resources","Ireland","Lisheen","Royalties",2830000
"124","Exillon Energy Plc","Russian Federation","Lumutinskoe oil field","Tax",2730000
"125","Total Sa","Brunei Darussalam","Block B","Tax",152862000
"126","Total Sa","Oman","Block 53","Tax",2687000
"127","Petrofac","Tunisia","Chergui","Royalties",2947000
"128","Vedanta Resources","India","CIL-KG-OSN","Production Entitlements",117580000
"129","Premier Oil Plc","Pakistan","Bhit/Badhra","Royalties",2637000
"130","Petropavlovsk Plc","Russian Federation","Pioneer","Tax",15006000
"131","Acacia Mining","Tanzania, United Republic of","North Mara gold mine","Tax",21031000
"132","Total Sa","Netherlands","Offshore blocks","Fees",2229000
"133","Total Sa","Indonesia","Tengah PSC","Tax",2074000
"134","Vedanta Resources","India","HZL-Zawar Mine","Royalties",13730000
"135","Vedanta Resources","South Africa","BMM","Tax",2e+06
"136","Total Sa","Congo","CPP Haute Mer - Zone B","Tax",12708000
"137","Acacia Mining","Tanzania, United Republic of","Bulyanhulu gold mine","Royalties",12700000
"138","Vedanta Resources","Namibia","SZ","Tax",1930000
"139","Total Sa","South Africa","Forzando and Dorstfontein","Royalties",1823000
"140","Great Eastern Energy Group","India","Raniganj (South) block","Royalties",1751555
"141","Total Sa","Cote d'Ivoire","CI-514","Fees",1624000
"142","Total Sa","Azerbaijan","Shah Deniz","Tax",1619000
"143","Total Sa","Norway","Alve North","Fees",1580000
"144","Petrofac","Malaysia","Berantai","Tax",1555000
"145","Total Sa","Nigeria","OML130","Fees",1517000
"146","Acacia Mining","Tanzania, United Republic of","Buzwagi gold mine","Other",1944000
