"","Company","Project","Country","V1","ProComp"
"51","BP P.L.C.","Block 17","Angola",242187190,"BP P.L.C. Block 17"
"52","Antofagasta plc","Los Pelambres","",227418000,"Antofagasta plc Los Pelambres"
"53","BG Group Ltd","BM-S-9","Brazil",196113000,"BG Group Ltd BM-S-9"
"54","BG Group Ltd","Karachaganak","Kazakhstan",194629000,"BG Group Ltd Karachaganak"
"55","BP P.L.C.","Alaska","United States of America",189433185,"BP P.L.C. Alaska"
"56","Total Sa","Non-attributable","Argentina",188508000,"Total Sa Non-attributable"
"57","Rio Tinto PLC","OYU TOLGOI","Mongolia",185359617,"Rio Tinto PLC OYU TOLGOI"
"58","Total Sa","Concession Fields (Non-attributable)","Gabon",182704000,"Total Sa Concession Fields (Non-attributable)"
"59","ROYAL DUTCH SHELL PLC","GABON NORTH EAST","Gabon",181961617,"ROYAL DUTCH SHELL PLC GABON NORTH EAST"
"60","Total Sa","San Antonio","Bolivia, Plurinational State of",177073000,"Total Sa San Antonio"
"61","BP P.L.C.","NORTH WEST SHELF","Australia",176652930,"BP P.L.C. NORTH WEST SHELF"
"62","Total Sa","Blocks M5 and M6","Myanmar",172515000,"Total Sa Blocks M5 and M6"
"63","ROYAL DUTCH SHELL PLC","GULF OF MEXICO (WEST)","United States of America",163352599,"ROYAL DUTCH SHELL PLC GULF OF MEXICO (WEST)"
"64","Total Sa","OML130 PSA (Akpo & Egina)","Nigeria",161979000,"Total Sa OML130 PSA (Akpo & Egina)"
"65","Anglo American plc","Corporate-Rustenburg Platinum Mines Ltd","South Africa",158111228,"Anglo American plc Corporate-Rustenburg Platinum Mines Ltd"
"66","Glencore plc","Block O - Alen Project","Equatorial Guinea",153211000,"Glencore plc Block O - Alen Project"
"67","Total Sa","Block B","Brunei Darussalam",152875000,"Total Sa Block B"
"68","Total Sa","OML118 (Bonga)","Nigeria",151344000,"Total Sa OML118 (Bonga)"
"69","Total Sa","Kharyaga","Russian Federation",147911000,"Total Sa Kharyaga"
"70","Glencore plc","North-East Kazakhstan Project - Kazzinc","Kazakhstan",145876000,"Glencore plc North-East Kazakhstan Project - Kazzinc"
"71","Vedanta Resources","CIL-KG-OSN","India",142830000,"Vedanta Resources CIL-KG-OSN"
"72","Glencore plc","Block I - Aseng Project","Equatorial Guinea",142167000,"Glencore plc Block I - Aseng Project"
"73","Total Sa","Block 14","Angola",139576000,"Total Sa Block 14"
"74","EQUION ENERGIA LIMITED","Piedemonte","Colombia",139022049,"EQUION ENERGIA LIMITED Piedemonte"
"75","ROYAL DUTCH SHELL PLC","BADR EL-DIN (BED)","Egypt",137921247,"ROYAL DUTCH SHELL PLC BADR EL-DIN (BED)"
