"","country","company_name","raw_place","norm_place","raw_pay","norm_pay","ratio_pay"
"1138","Trinidad and Tobago","REPSOL E&P T&T LIMITED",36,0.923076923076923,925492897,0.280002676658555,0.0350085166465799
"1139","Trinidad and Tobago","Petroleum Company of Trinidad and Tobago",37,0.948717948717949,1584648651,0.479426546958544,0.0599423278745206
"1140","Trinidad and Tobago","THE NATIONAL GAS COMPANY OF TRINIDAD AND TOBAGO LIMITED",38,0.974358974358974,2291197497,0.693188930993365,0.0866688723104558
"1141","Trinidad and Tobago","BP Trinidad & Tobago LLC - Trinidad Branch",39,1,3305300178,1,0.125029221378732
"1142","Zambia","",0,0,0,0,0
"1143","Zambia","DENISON MINES ZAMBIA LIMITED",1,0.0344827586206897,87716,7.09441339669828e-05,3.12763629539319e-06
"1144","Zambia","GRIZZLY MINING LIMITED",2,0.0689655172413793,289064,0.000233793095228145,1.03069800046917e-05
"1145","Zambia","ALBIDON ZAMBIA LIMITED",3,0.103448275862069,519017,0.00041977759563981,1.85062748771728e-05
"1146","Zambia","BHP BILLITON WORLD EXPLORATION INC",4,0.137931034482759,784726,0.000634681317791219,2.79804997895335e-05
"1147","Zambia","SAN HE (ZAMBIA) LIMITED",5,0.172413793103448,1285880,0.00104001143446422,4.58498444926832e-05
"1148","Zambia","DOLOMITE AGGREGATES LIMITED",6,0.206896551724138,2077251,0.00168006718531453,7.40672810233231e-05
"1149","Zambia","LIONS GROUP QUARRIES LIMITED",7,0.241379310344828,3058994,0.00247409457955443,0.000109072696677801
"1150","Zambia","Zambia Consolidated Copper Mines – Investment Holdings Plc (ZCCM- IH) - Tax payer",8,0.275862068965517,4185517,0.0033852191022058,0.000149240445120448
"1151","Zambia","NDOLA LIME COMPANY LIMITED",9,0.310344827586207,5814082,0.0047023919501918,0.000207309201144515
"1152","Zambia","ZAMBIAN NONFERROUS METALS EXPLORATION & CON CO LTD",10,0.344827586206897,7701933,0.00622927363943552,0.000274623161059403
"1153","Zambia","SCIROCCO ENTERPRISES LIMITED",11,0.379310344827586,9819582,0.00794201446609254,0.000350130889105633
"1154","Zambia","SINO-METALS LEACH ZAMBIA LTD",12,0.413793103448276,13700768,0.0110810926221277,0.000488519988047353
"1155","Zambia","MAAMBA COLLIERIES LIMITED",13,0.448275862068966,17973220,0.0145366241905474,0.000640860221819131
"1156","Zambia","CHAMBISHI COPPER SMELTER LIMITED",14,0.482758620689655,24819334,0.0200737169532046,0.000884967963038515
"1157","Zambia","ZAMBEZI PORTLAND CEMENT LIMITED",15,0.517241379310345,32282570,0.0261099340015334,0.00115108004971238
"1158","Zambia","KAGEM MINING LIMITED",16,0.551724137931034,40085670,0.0324210308568136,0.0014293104612289
"1159","Zambia","LUBAMBE COPPER MINE LIMITED",17,0.586206896551724,59013687,0.0477298886909297,0.00210421530149771
"1160","Zambia","NFC AFRICA MINING PLC",18,0.620689655172414,79622165,0.0643978925224727,0.00283903932203687
"1161","Zambia","CHIBULUMA MINES PLC",19,0.655172413793103,119437911,0.0966006105923728,0.00425872526665081
"1162","Zambia","SABLE ZINC KABWE LIMITED",20,0.689655172413793,160224487,0.129588529692634,0.00571302750868661
"1163","Zambia","CHAMBISHI METALS PLC",21,0.724137931034483,209820367,0.169701356941145,0.00748143776895801
"1164","Zambia","LAFARGE CEMENT ZAMBIA PLC",22,0.758620689655172,259533603,0.209909100964086,0.00925403252105623
"1165","Zambia","CNMC LUANSHYA COPPER MINES PLC",23,0.793103448275862,312798923,0.252989747572164,0.0111532817813706
"1166","Zambia","FIRST QUANTUM MINING AND OPERATIONS LTD-BM M S",24,0.827586206896552,393606749,0.31834659504953,0.0140345974997049
"1167","Zambia","LUMWANA MINING COMPANY LIMITED",25,0.862068965517241,489191868,0.395655221612369,0.0174428182061197
"1168","Zambia","KALUMBILA MINERALS LIMITED",26,0.896551724137931,589232533,0.476567464987649,0.0210099076181913
"1169","Zambia","KONKOLA COPPER MINES PLC",27,0.931034482758621,701971211,0.567749779220999,0.0250297623904956
"1170","Zambia","MOPANI COPPER MINES PLC",28,0.96551724137931,852528729,0.689519726855735,0.0303981006394025
"1171","Zambia","KANSANSHI MINING PLC",29,1,1236409483,1,0.044085904224989
